seed,gate,encoding,stiffness,size,fitness_gen_100
13,NAND,stiffness,True,True,13.829114970856367
14,NAND,stiffness,True,True,8.147633708835173
15,NAND,stiffness,True,True,11.535772847606976
16,NAND,stiffness,True,True,3.6543208959268805
17,NAND,stiffness,True,True,8.120781819194267
18,NAND,stiffness,True,True,5.961055030759453
19,NAND,stiffness,True,True,9.790785329744327
20,NAND,stiffness,True,True,8.97183098650768
21,NAND,stiffness,True,True,9.34268697089208
22,NAND,stiffness,True,True,4.92236286234421
23,NAND,stiffness,True,True,6.9835335834598915
24,NAND,stiffness,True,True,4.4848155299068155
25,NAND,stiffness,True,True,9.579216361789003
26,NAND,stiffness,True,True,10.076088764331752
27,NAND,stiffness,True,True,12.566980908959216
28,NAND,stiffness,True,True,9.799376697517719
29,NAND,stiffness,True,True,13.34078958974989
0,NAND,size,False,True,0.24858822082079343
1,NAND,size,False,True,0.2505710763816286
2,NAND,size,False,True,0.25530355347494477
3,NAND,size,False,True,0.24411935654702854
4,NAND,size,False,True,0.22765481321179654
5,NAND,size,False,True,0.25591853674658094
6,NAND,size,False,True,0.24496418157325212
7,NAND,size,False,True,0.2487886052908343
8,NAND,size,False,True,0.23590905331534542
9,NAND,size,False,True,0.1818073381706997
10,NAND,size,False,True,0.25418170849003485
11,NAND,size,False,True,0.25565232769489016
12,NAND,size,False,True,0.2558333689665971
13,NAND,size,False,True,0.25298013352851784
14,NAND,size,False,True,0.21325771054388373
15,NAND,size,False,True,0.271971049339631
16,NAND,size,False,True,0.2244006153871493
17,NAND,size,False,True,0.2434231339885876
18,NAND,size,False,True,0.25613243057725504
19,NAND,size,False,True,0.22841731493346418
20,NAND,size,False,True,0.2327073056190696
21,NAND,size,False,True,0.2557116218544568
22,NAND,size,False,True,0.25581079792232886
23,NAND,size,False,True,0.23318611604718134
24,NAND,size,False,True,0.20428762070303627
25,NAND,size,False,True,0.19607904287027358
26,NAND,size,False,True,0.2372869704983674
27,NAND,size,False,True,0.2529553421620961
28,NAND,size,False,True,0.20608655106396206
29,NAND,size,False,True,0.24986997172386713
0,NAND,size,True,True,8.8060064055771
1,NAND,size,True,True,11.25259817740613
2,NAND,size,True,True,0.9342403415701367
3,NAND,size,True,True,10.732984677457202
4,NAND,size,True,True,17.594405504136777
5,NAND,size,True,True,12.45237270699388
6,NAND,size,True,True,10.182789019958394
7,NAND,size,True,True,8.145529300972202
8,NAND,size,True,True,12.87157858626926
9,NAND,size,True,True,11.546879188360512
10,NAND,size,True,True,7.294881361047723
11,NAND,size,True,True,8.62471314866889
12,NAND,size,True,True,10.684832728907338
13,NAND,size,True,True,1.7893612100906415
14,NAND,size,True,True,10.148676314297083
15,NAND,size,True,True,8.546320926486704
16,NAND,size,True,True,8.983258511504417
17,NAND,size,True,True,11.597383229218353
18,NAND,size,True,True,2.734044803654614
19,NAND,size,True,True,8.671896771802627
20,NAND,size,True,True,10.67635228005985
21,NAND,size,True,True,6.926075922431265
22,NAND,size,True,True,9.937339043256124
23,NAND,size,True,True,12.957012303267785
24,NAND,size,True,True,12.358251598530506
25,NAND,size,True,True,10.263978066118508
26,NAND,size,True,True,11.725414325457995
27,NAND,size,True,True,10.72246632479183
28,NAND,size,True,True,14.465699620496833
29,NAND,size,True,True,15.38572636584707
0,AND,size,False,True,1.106286269231
1,AND,size,False,True,1.106286269231
2,AND,size,False,True,1.1029840045386963
3,AND,size,False,True,1.106286269231
4,AND,size,False,True,1.106286269231
5,AND,size,False,True,1.106286269231
6,AND,size,False,True,1.106286269231
7,AND,size,False,True,1.106286269231
8,AND,size,False,True,1.106286269231
9,AND,size,False,True,1.106286269231
10,AND,size,False,True,1.106286269231
11,AND,size,False,True,1.1042313374956279
12,AND,size,False,True,1.106286269231
13,AND,size,False,True,1.106286269231
14,AND,size,False,True,1.106286269231
15,AND,size,False,True,1.106286269231
16,AND,size,False,True,1.106286269231
17,AND,size,False,True,1.106286269231
18,AND,size,False,True,1.106286269231
19,AND,size,False,True,1.106286269231
20,AND,size,False,True,1.106286269231
21,AND,size,False,True,1.106286269231
22,AND,size,False,True,1.106286269231
23,AND,size,False,True,1.106286269231
24,AND,size,False,True,1.106286269231
25,AND,size,False,True,1.106286269231
26,AND,size,False,True,1.106286269231
27,AND,size,False,True,1.106286269231
28,AND,size,False,True,1.106286269231
29,AND,size,False,True,1.106286269231
0,AND,size,True,True,3.485626743475839
1,AND,size,True,True,4.48210418112126
2,AND,size,True,True,4.825312428620888
3,AND,size,True,True,1.441042455814707
4,AND,size,True,True,1.8118940850845853
5,AND,size,True,True,4.510646238661261
6,AND,size,True,True,5.021615469541199
7,AND,size,True,True,5.235155314666245
8,AND,size,True,True,7.404983059267354
9,AND,size,True,True,7.632654964374346
10,AND,size,True,True,3.182644551121317
11,AND,size,True,True,4.803952341034732
12,AND,size,True,True,5.088371792335657
13,AND,size,True,True,2.9421782499163625
14,AND,size,True,True,4.38718086441266
15,AND,size,True,True,7.380073277434438
16,AND,size,True,True,5.661910551136393
17,AND,size,True,True,5.655985022631742
18,AND,size,True,True,7.23907518044348
19,AND,size,True,True,5.238702681084942
20,AND,size,True,True,7.02033471663718
21,AND,size,True,True,5.705631791200102
22,AND,size,True,True,6.68730994455122
23,AND,size,True,True,7.158465893930963
24,AND,size,True,True,6.521058238007673
25,AND,size,True,True,5.969161030225043
26,AND,size,True,True,5.476126775741693
27,AND,size,True,True,5.3703033642086355
28,AND,size,True,True,6.984306944019583
29,AND,size,True,True,4.237651196707774
0,OR,size,False,True,7.391162532885927
1,OR,size,False,True,6.688374433113371
2,OR,size,False,True,7.110589496558731
3,OR,size,False,True,6.7698297027038015
4,OR,size,False,True,6.992210511634074
5,OR,size,False,True,7.101420895551182
6,OR,size,False,True,6.889745251435041
7,OR,size,False,True,6.832289275099151
8,OR,size,False,True,7.079009424967786
9,OR,size,False,True,6.5908408267999485
10,OR,size,False,True,7.051094523395289
11,OR,size,False,True,6.670708087388316
12,OR,size,False,True,7.571275099874916
13,OR,size,False,True,7.255880888943399
14,OR,size,False,True,7.10391210604451
15,OR,size,False,True,7.135408985752812
16,OR,size,False,True,7.101412056922035
17,OR,size,False,True,7.664206968552371
18,OR,size,False,True,7.068624299730683
19,OR,size,False,True,7.892751474697902
20,OR,size,False,True,6.958258949490862
21,OR,size,False,True,7.092248258905594
22,OR,size,False,True,7.035943483978239
23,OR,size,False,True,7.109640788495644
24,OR,size,False,True,7.191481581320243
25,OR,size,False,True,6.972801423054464
26,OR,size,False,True,7.088449018192759
27,OR,size,False,True,7.016666120620079
28,OR,size,False,True,6.778867412829769
29,OR,size,False,True,7.297796538911704
0,OR,size,True,True,8.761697658405772
1,OR,size,True,True,30.917283740792946
2,OR,size,True,True,30.246553899503247
3,OR,size,True,True,12.362928983641783
4,OR,size,True,True,3.1357047226843675
5,OR,size,True,True,28.50654968661992
6,OR,size,True,True,26.36016432439732
7,OR,size,True,True,27.46439752248366
8,OR,size,True,True,29.937943944157247
9,OR,size,True,True,31.32288088627732
10,OR,size,True,True,30.309183406891535
11,OR,size,True,True,29.77798996468724
12,OR,size,True,True,25.440455271607497
13,OR,size,True,True,25.162715293727885
14,OR,size,True,True,12.568851637847493
15,OR,size,True,True,26.652993010734175
16,OR,size,True,True,29.70426846726068
17,OR,size,True,True,31.609292705251622
18,OR,size,True,True,25.41530714500453
19,OR,size,True,True,23.942206827182794
20,OR,size,True,True,28.07450013792786
21,OR,size,True,True,28.998112204301435
22,OR,size,True,True,31.40496696972408
23,OR,size,True,True,23.82230976440449
24,OR,size,True,True,27.043436599441275
25,OR,size,True,True,13.594084019268589
26,OR,size,True,True,12.786649040029465
27,OR,size,True,True,27.020695160422484
28,OR,size,True,True,31.160887775133666
29,OR,size,True,True,14.408596352244059
0,XOR,size,False,True,0.2562153802942942
1,XOR,size,False,True,0.2567092847312415
2,XOR,size,False,True,0.19910473571266335
3,XOR,size,False,True,0.10364890643472792
4,XOR,size,False,True,0.256538537044525
5,XOR,size,False,True,0.2433383567878719
6,XOR,size,False,True,0.25605323152553106
7,XOR,size,False,True,0.25642959686005123
8,XOR,size,False,True,0.2562580573741251
9,XOR,size,False,True,0.24323091729436194
10,XOR,size,False,True,0.25074948975320444
11,XOR,size,False,True,0.2566320240340566
12,XOR,size,False,True,0.25379934130582243
13,XOR,size,False,True,0.20497900661086646
14,XOR,size,False,True,0.25591732215781643
15,XOR,size,False,True,0.25644644751353557
16,XOR,size,False,True,0.24329413829783983
17,XOR,size,False,True,0.25621190447638414
18,XOR,size,False,True,0.25636952859622786
19,XOR,size,False,True,0.24323822367874248
20,XOR,size,False,True,0.2433424996552149
21,XOR,size,False,True,0.25070809902497104
22,XOR,size,False,True,0.24334038797634766
23,XOR,size,False,True,0.14015795693537478
24,XOR,size,False,True,0.2562578306579902
25,XOR,size,False,True,0.256674405869006
26,XOR,size,False,True,0.25627572094475237
27,XOR,size,False,True,0.2565036034305204
28,XOR,size,False,True,0.23094243849123025
29,XOR,size,False,True,0.24328083939802808
0,XOR,size,True,True,0.9099206094149496
1,XOR,size,True,True,1.0945109694788302
2,XOR,size,True,True,0.4658110386887883
3,XOR,size,True,True,1.0549297735234175
4,XOR,size,True,True,1.1152743078116552
5,XOR,size,True,True,4.510784211621563
6,XOR,size,True,True,4.187928659843433
7,XOR,size,True,True,0.4652618028268189
8,XOR,size,True,True,0.8339543364838343
9,XOR,size,True,True,0.7580656533646691
10,XOR,size,True,True,0.9881870960240847
11,XOR,size,True,True,3.3161619904404476
12,XOR,size,True,True,1.1209071067940277
13,XOR,size,True,True,3.37303702927339
14,XOR,size,True,True,4.935006672976411
15,XOR,size,True,True,3.0795289765592475
16,XOR,size,True,True,1.1724730511217003
